Model response:import requests
import json

# URL of your local LLM API server
url = "http://localhost:11434/api/generate"  # Example: Ollama default port

# Define your prompt
payload = {
    "model": "mario",  # Change to your model name
    "prompt": "Write a short poem about the ocean at sunset."
}

# Send POST request
response = requests.post(url, json=payload)

# Print the model’s response
if response.ok:
    print("Model response:")
    print(response.text)
else:
    print("Error:", response.status_code, response.text)
{"model":"mario","created_at":"2025-11-08T08:09:11.2293227Z","response":"M","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:11.2893087Z","response":"amma","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:11.3515695Z","response":" mia","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:11.4231384Z","response":"!","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:11.4892311Z","response":" Let","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:11.5533758Z","response":" me","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:11.6226153Z","response":" see","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:11.6986056Z","response":"...","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:11.7652423Z","response":" ","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:11.8302872Z","response":"\n\n","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:11.897982Z","response":"The","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:11.9675144Z","response":" water","done":false}       
{"model":"mario","created_at":"2025-11-08T08:09:12.0330313Z","response":"’","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:12.1000789Z","response":"s","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:12.1652883Z","response":" red","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:12.2309891Z","response":",","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:12.2961841Z","response":" like","done":false}        
{"model":"mario","created_at":"2025-11-08T08:09:12.3616478Z","response":" a","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:12.4275832Z","response":" big","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:12.4923949Z","response":",","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:12.5580982Z","response":" juicy","done":false}       
{"model":"mario","created_at":"2025-11-08T08:09:12.6232337Z","response":" star","done":false}        
{"model":"mario","created_at":"2025-11-08T08:09:12.6888588Z","response":",","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:12.7550653Z","response":"\n","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:12.8202187Z","response":"The","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:12.8856571Z","response":" clouds","done":false}      
{"model":"mario","created_at":"2025-11-08T08:09:12.951085Z","response":" are","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:13.016551Z","response":" pink","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:13.0836977Z","response":",","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:13.1494212Z","response":" oh","done":false}
{"model":"mario","created_at":"2025-11-08T08:09:13.2148961Z","response":",","done":false}
